,Quarter,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
0,2003-06-01,77.2518390395,57.596949195363635,43.192608836136365,17.643094210318182,23.622356008363635,4.9541322775,2.1403532863809525,4.456408570727273,28.857217678036253
1,2003-09-01,78.04685930086363,58.003639947590905,43.35574573472727,17.36984499381818,22.679723789409092,5.082873443545455,2.2248890202380953,4.4953410345,28.90736465808658
2,2003-12-01,78.59296180259092,58.36039507622727,43.64839590236364,17.330640147,23.66774202640909,5.132661753818182,2.316315923047619,4.526160749545455,29.196909172625272
3,2004-03-01,78.313855429,59.014260197590914,44.34630417331818,17.148688858545455,23.109925690636363,5.106434872272728,2.2691137298571427,4.620433210636364,29.241127020232142
4,2004-06-01,76.08765080109092,58.93508609768182,43.50506515722727,16.757549109045456,23.83450613231818,4.993327846045454,2.49025343952381,4.4930026905,28.887055159179113
5,2004-09-01,77.43216070504546,57.20696541968182,45.78705456759091,17.08234267640909,23.075481885045455,5.376117008,2.3574593217142854,4.588163707090909,29.11321816132224
6,2004-12-01,78.11014712363637,57.50763752222727,45.97938717009091,17.674688419954546,24.17878365945455,5.401337477190476,2.428790963227273,4.778419884545454,29.50739902754086
7,2005-03-01,79.77717362022727,61.04965498272727,48.02536112013636,18.31447150359091,24.189143977045454,5.335656694666667,2.2571647058636364,4.8999846190000005,30.481076402907195
8,2005-06-01,79.60778155518182,61.827990584136366,48.63151901204546,17.917786254272727,25.393712825954548,5.491654298333334,2.407600129409091,4.647728400545454,30.74072163248485
9,2005-09-01,79.12286076381818,59.689713732045455,47.20986789404546,17.452320586227273,25.27864268672727,5.136267363454546,2.4312798401428575,4.711676073545454,30.12907861750081
10,2005-12-01,79.75494078795454,61.36175318927273,47.55005655613636,17.85095916768182,25.1387320005,5.3028055415,2.2393255923636364,4.796387813863636,30.49937008115909
11,2006-03-01,79.9967525955909,60.949026030272734,47.75296608286363,17.530493601181817,25.697806597045453,5.417269871181818,2.162774913454545,4.740892321681819,30.53099775165909
12,2006-06-01,79.29718815627272,60.04591339113636,48.658249843227274,17.86413157581818,25.730538297454544,5.321388897227273,2.505220170363636,4.964637098181818,30.54840842871023
13,2006-09-01,80.33153657713636,61.27801951631818,50.350440650636365,18.17074337659091,25.6482678375,5.520495045190477,2.5022906357727273,5.509938156045455,31.16396647439881
14,2006-12-01,80.7439048240909,61.849499182772725,51.49750597036363,18.324730663,26.972746166818183,5.485988040409091,2.4188281120454547,5.250819070727273,31.56800275377841
15,2007-03-01,82.11046128018182,63.581952960954546,53.21935731122728,18.32341698290909,26.835521882363636,5.238815208954545,2.412740298590909,5.132789331500001,32.106881907085224
16,2007-06-01,83.62422991818181,64.34268992936364,53.04182860981818,18.05186964559091,26.906738737136365,5.361897644136364,2.553007419,5.400728343333333,32.41037378082008
17,2007-09-01,81.32444456136363,63.69454406213636,52.43316953781818,17.963254812045452,26.99197270018182,5.606116649380953,2.6462507098636365,5.407916101761905,32.00845864181899
18,2007-12-01,85.38695449400001,65.49004703427273,52.86800303918182,19.088286930909092,28.24050992590909,5.5672910186363636,2.560243700272727,5.372328862904761,33.07170812576082
19,2008-03-01,79.46229682477272,65.75019455277273,51.879518238636365,18.82871728240909,25.165232842090912,5.5536228423636365,2.4715618967272728,5.553091006952381,31.83302943584064
20,2008-06-01,87.23288831968182,65.15335672622727,52.27030089045454,18.75207791590909,29.116167656000002,5.781109806045454,2.7165154732272727,5.226037026227273,33.281056726721594
21,2008-09-01,85.59690889681818,65.26404041213635,55.81626843304546,19.104031738272727,30.796000775363634,6.110374923318182,2.739699204454545,5.319999563045455,33.843415493306814
22,2008-12-01,85.84636612054545,64.98556601254546,55.686856960727276,18.796691850318183,31.27789973590909,5.5261866156818185,2.679416734,5.326929433,33.76573918284091
23,2009-03-01,85.86892122886364,65.1965688155,54.5431320345,19.19291238768182,28.467701847181818,5.726766822363636,3.105317254952381,5.1725916135,33.40923900056791
24,2009-06-01,84.80154414268182,64.84484985531819,55.45518172445455,18.948363054954545,27.321989828454548,5.5239338176363635,3.429404501590909,5.532304392136364,33.232196414653416
25,2009-09-01,80.37324486868182,63.276348467863635,52.70444795518181,17.614962790863636,27.292430027636364,5.219564829045455,3.071068383863637,5.174449166136363,31.84081456115909
26,2009-12-01,80.95474699622727,64.1988011409091,52.7414632645,18.019638006636363,27.624939321045453,5.304170044954545,3.185645281272727,5.124306239,32.144213786818185
27,2010-03-01,83.04125508877273,66.107856524,53.64284093627273,19.265881611363636,28.6595111025,5.347608443272727,2.8720517835,5.542234143954546,33.05990495420455
28,2010-06-01,84.595563338,66.65347094640909,54.63812780013637,19.043340099681817,29.508386282045457,5.301392821909091,3.0574594029545454,5.4416385929999995,33.529922410517045
29,2010-09-01,86.86066658081819,66.74311769313637,54.83881883372727,19.23193972177273,30.202752731,5.552564766590909,3.114170797863636,5.513966844045455,34.00724974611932
30,2010-12-01,88.57499830563637,68.36498723477273,56.37560478481819,19.153698442136363,30.82651862663636,5.565155080181818,2.93590493,5.254382323545454,34.63140621596591
31,2011-03-01,87.48323580704545,69.87885964809091,54.695193229136365,18.87749487368182,30.329008839545455,5.558967805,2.8101962606818183,5.607371956545455,34.40504105246591
32,2011-06-01,85.64954166381818,69.37997322327273,56.51643021186363,19.376516768590907,30.07701453931818,5.577795576090909,2.9390833808636363,5.562600797181818,34.384869520124994
33,2011-09-01,85.08800668490909,68.39502962363636,55.78939525172727,18.816971512636364,30.61281684668182,5.280745779772728,3.0348982933636366,5.669310474863637,34.085896808448865
34,2011-12-01,86.83965996059091,68.47304456281819,57.00016890154546,19.100257102181818,30.886147510318178,5.303609264045455,3.267389647409091,5.485625105045455,34.544487756744324
35,2012-03-01,86.05943724418182,66.99098952631817,54.84765741645455,18.760679826727273,31.321305976590907,5.307346163045454,3.001216598227273,5.6431103361818185,33.9914678859659
36,2012-06-01,87.26424314581818,67.62191811472728,54.484503503499994,18.055931458954547,33.12500801859091,5.140576079090909,3.080925352227273,5.430263477136363,34.27542114375568
37,2012-09-01,84.17592475704545,68.09709467640909,56.80867896186364,18.288918920136364,32.310491388636365,5.1215396705,3.4896172635909086,5.869911974227273,34.27027220155113
38,2012-12-01,88.60343866790909,67.91483884736364,57.056708312181826,19.182670417545452,33.95500080663636,5.205288108409091,3.282604011090909,5.340535845909091,35.06763562713068
39,2013-03-01,88.36232270340909,67.53523798536364,55.19409807854545,18.647894798545455,32.01996163409091,5.170672509045454,2.831999688590909,5.533419257727273,34.411950831914766
40,2013-06-01,72.62731515177273,57.14591475727273,45.61962047509091,16.406455735,27.1396938125,3.858487405909091,2.5392437042727276,4.704636342045455,28.75517092298296
41,2013-09-01,83.47021548177273,65.98593321218182,55.36717534590909,17.71236601322727,31.591998036636365,4.881760711363636,3.4428544171818185,5.4240284888636365,33.48454146339205
42,2013-12-01,85.58835220718181,68.77398501245455,55.43802237959091,18.430811755454545,31.897999864318184,5.179256337318182,3.442389082909091,5.676737293454545,34.303444241585225
43,2014-03-01,86.58688323940909,66.59773001931818,54.02760603381818,18.088253210999998,31.52972425590909,5.18109909209091,3.4041412975454546,5.836882554952381,33.90653996300541
44,2014-06-01,84.73479581954545,66.64542083963636,55.88287447422727,18.959527749727272,31.913240937454546,5.349737991590909,3.4296754264545455,5.542128469772727,34.05717521355113
45,2014-09-01,86.0582778329091,65.37676003481819,53.73647843086364,19.00294123359091,30.765465185045457,5.042208612363637,3.5405297774285716,5.3640500215,33.61083889106494
46,2014-12-01,86.80881109768183,68.95121682372726,55.485199090363636,18.348915698681818,32.84123422990909,5.511743032954545,3.5654233125,5.55016382652381,34.63283838904275
47,2015-03-01,87.25803989409091,70.37619668672727,54.73086543468182,18.65060796968182,31.54168157427273,5.452737099863636,3.4244766905,5.378903977,34.60168866585227
48,2015-06-01,90.40377739590909,68.45033331559091,56.31780306690909,18.212362657818183,32.42283902731818,5.3739505725,3.5603821200909094,5.566610733454545,35.03850736119886
49,2015-09-01,88.12772161454546,66.5393447725,54.61450323059091,17.817467782227272,30.858010167272724,5.381876896954545,3.469339530090909,5.476225875,34.035561233647734
50,2015-12-01,93.56048910454545,71.23598940981819,56.207756566818176,18.651751563227272,31.82504023931818,5.419570109681818,3.712806762318182,5.512819096227273,35.76577785649431
51,2016-03-01,89.25628259181818,70.34948485104546,54.72069503568182,18.571847585863637,29.572062930454546,5.393264834772728,3.499837543318182,5.403247624590909,34.595840374693175
52,2016-06-01,91.80679999954545,72.41964366986363,55.06111058281818,18.058816744636363,30.719168237227276,5.619114886727273,3.4855354080454544,5.826754243681818,35.374617971568185
53,2016-09-01,86.98408890245454,71.14019891431818,52.393745072045455,18.078541489227273,29.54790307145454,5.330568482772727,3.5032256751363633,5.453161065909091,34.05392908416477
54,2016-12-01,89.52555656522726,72.82512688927272,53.80442556422727,18.50673143272727,29.828534128227272,5.237732835090909,3.6611346184090907,5.721794416454546,34.88887955620454
55,2017-03-01,89.38238080868182,73.04570192477273,52.59882268754546,18.390194471863637,30.55736367240909,5.352629628727272,3.6595040221818183,5.685236209380952,34.83397917819535
56,2017-06-01,92.03159161786363,74.85440623718182,56.30843719290909,18.83974251268182,31.569389966045456,5.7054667585,3.5532835633636366,5.498190954545454,36.045063600386364
57,2017-09-01,91.3554992975,74.109056426,54.88289498086363,18.03689381686364,31.072495764772725,5.468273382454545,3.4023406003636367,5.953955126227272,35.53517617438068
58,2017-12-01,96.45364501981818,74.09208339413637,57.89031316395455,19.26909533968182,31.636870345318183,5.591094272181818,3.488227501181818,6.381984266136363,36.85041416280114
59,2018-03-01,91.27946785236364,74.93380255213636,57.32682404090909,19.28251428727273,30.347807718772728,5.824965109227272,3.694335440454545,6.046517019409091,36.09202925256818
60,2018-06-01,92.69621778022727,75.799761117,55.85965068254546,19.191180983909092,32.29606500809091,5.705064212181818,3.8159020088636364,6.176699691045456,36.442567685482956
61,2018-09-01,92.40359597263637,76.43879258040909,56.75103564431818,18.301361332818182,31.766343364045454,5.643956793318182,3.5642834495454547,5.5689546625,36.30479047494886
62,2018-12-01,95.14411388686364,78.76772017068183,58.18519086763636,19.270815529727273,31.69973931959091,5.568864706590909,3.4306342958181815,6.234538638681818,37.28770217694886
63,2019-03-01,94.90151705109089,78.07744658945454,57.63006188731818,19.969384637,32.13496143068182,5.6686502153181815,3.359455086772727,5.940216073590909,37.21021162140341
64,2019-06-01,97.22139172345454,79.46456048522727,59.71484545495455,19.71175455418182,32.95649040109091,5.500554781363636,3.056509695863636,6.316871550863637,37.992872330874995
65,2019-09-01,97.16544625122728,76.67386491718182,59.93719122527273,19.6034403885,32.38516305931818,5.404517413227272,3.2306747832272724,6.305703434761905,37.58825018408955
66,2019-12-01,99.47428519213636,79.35568962431817,61.47333051959092,19.87755403463636,33.44136796931818,6.02351540640909,3.5544488580454545,6.221783159863636,38.67774684553978
67,2020-03-01,100.17841534718181,81.30935185727273,60.10429582877273,19.880604084954545,33.03094427968182,6.171994951681818,3.3077597715909093,6.658480198363637,38.8302307899375
68,2020-06-01,95.66824476681818,77.36053400586364,57.67014868331818,18.86455050531818,31.78284001931818,5.747710089,3.329740359272727,6.58090771,37.12558451736364
69,2020-09-01,95.52617435004545,76.24505213586363,56.09264564868182,18.328556428590908,30.367062837454544,5.477459046318182,3.0657592720454545,6.126741643727272,36.40368142034091
70,2020-12-01,97.97585654568182,77.9036674730909,59.41817078986364,20.837443835227273,34.23501557990909,5.570607942363637,3.120806669,6.591271225227273,38.20660500754545
71,2021-03-01,100.41678735209092,77.18925327686364,60.571198805090916,19.717486120090907,32.169459453363636,5.9738083317727275,2.8817953251363635,6.348794370227273,38.15857287932954
72,2021-06-01,100.18373070495454,78.07261872881818,60.615159446863636,19.348375644363635,32.883608242954544,6.033975623090909,3.0705904108181814,6.520648211772727,38.34108837670454
73,2021-09-01,94.94182144790908,80.47506951227273,61.75852391140909,19.63932092240909,33.390719157227274,5.928921729727273,3.0903712418636364,6.322480828272727,38.193403593886366
74,2021-12-01,97.34856713377272,79.37165222781817,63.56492921959091,20.717472852136364,35.35765021895455,5.837519487409091,3.368692233772727,6.440554543409092,39.000879739607946
75,2022-03-01,101.15284595877273,81.6971370044091,63.981993003727275,20.191920039818182,34.93021660477273,6.381832187909091,3.222338141772727,6.443117956272727,39.75017511218182
76,2022-06-01,102.56652108277272,80.90377667854546,63.85775646263637,20.67722741818182,36.42871118618182,6.264779742727273,3.141008313090909,6.457763186181818,40.03719300878978
77,2022-09-01,103.57899130140909,82.18658259390908,62.83225709368182,19.748984175727273,35.84584612586364,5.988452917545455,3.2288418535,6.738617316636364,40.01857167228409
78,2022-12-01,104.28824380781818,83.65841989240909,66.28903537109092,21.66087838836364,36.855909750636364,6.349278294909092,3.4067746611363634,7.221381344681817,41.21624018888068
79,2023-03-01,101.85508752195454,80.11010303590909,65.36918971604545,21.64162221659091,37.9030511695,5.9560440246363635,3.516339110772727,7.222377597636363,40.44672679913069
